brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
DANNY DOG,"Hot Dogs,American,Fast Food",Very good,46,Free,0.00,
Oreo Ice Cream,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,48,5.00,10.00,
Hadoota Masreya (Ibn Batuta),"Egyptian,Sandwiches",Very good,50,5.00,50.00,
DESSERT HOTEL,"Specialty Store,Ice Cream,Cakes and Desserts",Good,50,5.00,10.00,
The Desi Inn,"Pakistani,Vegetarian,Indian",Good,51,5.00,10.00,
Taco Mercado,"Mexican,Healthy",Very good,49,7.00,10.00,
HIGH STEAKS - Steak Sandwiches,"American,Fast Food",Very good,55,Free,10.00,
Ben & Jerry Ice cream,"Specialty Store,Ice Cream,Cakes and Desserts",Good,43,5.00,10.00,
Asia Kitchen,"Asian,Chinese,Japanese",,51,5.00,10.00,
Wingman,"American,Desserts",,51,5.00,10.00,New
Quick Burger,"American,Burgers",,51,5.00,10.00,New
Angrezi Masala,Indian,Good,51,5.00,10.00,
Green Wraps,"Healthy,Vegetarian,Beverages",OK,51,5.00,10.00,
Stranger Wings,American,,51,5.00,10.00,
Haka,"Asian,Chinese",,51,5.00,10.00,
MedX Pharmacy,Pharmacy,Very good,47,7.00,10.00,
Project Chaiwala,"Indian,Sandwiches,Beverages",Very good,50,7.00,0.00,
"HengChen, Jumeirah Lakes Towers","Chinese,Asian",Very good,52,5.00,10.00,
WALL`s Ice Cream Shop,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,47,7.00,10.00,
Lotus Thai Restaurant,"Thai,Asian,Chinese",Good,49,5.00,10.00,
"Il Forno, Dubai Mall","Pizza,Sandwiches,Pasta",Very good,50,5.00,50.00,
Cheesecake Lab,"Specialty Store,Cakes and Desserts,Bakery",Good,46,5.00,10.00,
"Poke And Co, Jumeirah Lakes Towers","Healthy,Breakfast,Cafe",Very good,52,5.00,10.00,
Cluckers Wood Roasted Chicken Restaurant,"International,Sandwiches",Very good,50,1.00,0.00,
Mantoushe,"Healthy,Lebanese,Sandwiches",Very good,49,7.00,10.00,
"Monkey Cookies, Jumeirah Lakes Towers - JLT","Specialty Store,Bakery",OK,44,5.00,10.00,
MAC EDITION - Mac N Cheese,"American,Fast Food",Good,44,Free,0.00,
Hakka Wakka,"Chinese,Asian,Soups",Very good,53,5.00,10.00,
The Monk,"Chinese,Thai,Fried Chicken",Very good,51,7.00,10.00,
Pizza Pazza Restaurant,Pizza,Very good,50,5.00,10.00,
The 500 Calorie Project,"Salads,Bowls,Vegetarian",Very good,54,Free,10.00,
Indian Food Company,"Indian,Vegetarian,Grills",Very good,55,3.00,10.00,
"The Yellow Chilli, Jumeirah Lakes Towers","Indian,Pakistani,Grills",Good,52,5.00,10.00,
Cafe Society,"Cafe,International",Very good,54,5.00,10.00,
HUMMUS & MORE,"Healthy,Vegetarian",Good,47,Free,0.00,
Rock House Sliders,"American,Burgers,Sandwiches",Very good,45,7.00,10.00,
Acai and Co,Healthy,Very good,52,5.00,10.00,
Sweet Stuff,"Specialty Store,Cakes and Desserts,Desserts",Good,45,7.00,10.00,
Haagen-Dazs Ice Cream,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,49,7.00,10.00,
"Operation:Falafel, Media City","Arabic,Lebanese,Sandwiches",Very good,35,7.00,0.00,
Noodle Fusion,"Asian,Chinese",Good,53,5.00,10.00,
"Pastel Cakes, Al Sufouh 2","Specialty Store,Cakes and Desserts,Bakery",Very good,50,7.00,10.00,
Sirwah Mandi & Mazbi Restaurant,Arabic,Good,51,7.00,10.00,
"Krispy Kreme, Meadows,Meadows","Cafe,Desserts",Very good,42,7.00,10.00,
FRIES BEFORE GUYS - Better Burgers,"Burgers,Fast Food",Very good,56,Free,10.00,
The Biryani Life,"Indian,Arabic,Grills",Good,52,5.00,10.00,
Just Salad,"Healthy,Salads",Amazing,51,7.00,10.00,New
BinSina Pharmacy,Pharmacy,Very good,45,7.00,10.00,
Chocolala,"Specialty Store,Cakes and Desserts",Very good,49,7.00,10.00,
Raju Omlet,"Indian,Breakfast",Very good,52,5.00,10.00,
Biryani Box,"Indian,Pakistani,Grills",Very good,53,5.00,10.00,
Something Baked,"Arabic,Breakfast,Sandwiches",Very good,51,5.00,10.00,
Faasos,"Shawarma & Doner,Snacks ,Indian",Very good,52,5.00,10.00,
Sausage Fabrique,"American,Grills,Bakery and Cakes",OK,52,5.00,10.00,
Yang Zhou,"Asian,Chinese",Very good,52,7.00,10.00,
Mo's Dessertz & Shakez,"Beverages,Cakes and Desserts",,52,5.00,10.00,New
Maui Poke Bar,Healthy,Very good,51,7.00,10.00,
Poke Poke,Asian,Good,48,7.00,10.00,
"Dessertino Shakes and More, Jumeirah Lakes Towers - JLT","Desserts,Beverages,American",Very good,47,7.00,0.00,
The Rice Bowl,"Indian,Chinese,Healthy",,53,3.00,10.00,
Kanji by 3Fils,"Asian,Healthy,Japanese",OK,53,3.00,10.00,
"Perfetto Salad, Dubai Marina","Healthy,Salads",Good,51,7.00,10.00,
Chicks 'N' Friends,"American,Burgers,Grills",Very good,55,Free,10.00,
"Mambo Gourmet Pizza, Jumeirah Lakes Towers - JLT","Pizza,Sandwiches,Italian",Very good,55,Free,0.00,
"Johnny Rockets, Dubai Marina","Burgers,Sandwiches,American",Very good,48,7.00,10.00,
Bakemart Gourmet,Desserts,Very good,50,7.00,10.00,
TRAINING DAY - Healthy Salads,"Salads,Smoothies,Healthy",Very good,43,Free,0.00,
Xsliders,"Sandwiches,American,Burgers",Good,50,7.00,10.00,
Avo And Co,"Breakfast,Desserts,Healthy",Very good,55,5.00,10.00,
Baba Mahmoud,"Cafe,Healthy,Breakfast",Amazing,50,7.00,10.00,
"Papa John's, Jumeirah Lake Towers","American,Pizza",Very good,50,5.00,10.00,
MARIACHI - Mexican Cuisine,"Mexican,Healthy",Very good,47,Free,0.00,
Rogue Coffee,"Beverages,Breakfast,Desserts",Good,48,7.00,10.00,
Arabica,"Bakery and Cakes,Cafe,Beverages",Very good,47,7.00,10.00,
Exotica Restaurant,"Chinese,Indian,Asian",Good,56,3.00,10.00,
Tsunami,"Asian,Healthy,Seafood",Very good,51,5.00,10.00,
Tabkhetna,"Arabic,Desserts",,51,5.00,10.00,New
"Chin Chin, Dubai Marina","Asian,Chinese,Thai",Very good,54,5.00,10.00,
Cold Stone Creamery,"Desserts,Bakery and Cakes,Ice Cream",Very good,48,7.00,10.00,
Oregano,"Italian,Pizza",Very good,40,7.00,0.00,
Indiana Delights,"Indian,Vegetarian,Chinese",Good,40,Free,20.00,
Al Kabab Al Afghani,"Arabic,Grills,Sandwiches",,50,5.00,10.00,
V Perfumes,"Specialty Store,Cosmetics",Good,50,7.00,10.00,
Deniro Italian Restaurant,"Italian,Pizza",,48,5.00,10.00,New
Messy Burger,"Burgers,Sandwiches,Snacks ",,48,5.00,10.00,New
Greek & Delicious,International,Very good,52,5.00,10.00,
"Asian Wok, Jumeirah Lakes Towers - JLT","Chinese,Thai,Asian",Very good,54,3.00,10.00,
Keto For Less,Healthy,Very good,47,5.00,10.00,
"The Green Fridge, Jumeirah Lakes Towers","Healthy,Salads,Wraps",Very good,50,5.00,10.00,
AlFeniq Restaurant And Cafe,"Lebanese,International",Very good,40,3.00,30.00,
La Cantina,"International,Cafe,Sandwiches",Very good,51,3.00,10.00,
Salkara Restaurant,"Indian,Seafood,Grills",Good,51,7.00,10.00,
Caribou Coffee,"International,American,Cafe",Amazing,45,7.00,10.00,
Seeds Of India,"Beverages,Indian,Vegetarian",OK,53,5.00,10.00,
Bombay Bungalow,Indian,Good,51,7.00,10.00,
Burger.Eat,"American,Burgers",,52,3.00,10.00,
"800PIZZA, Dubai Marina","Pizza,Italian",Very good,50,7.00,10.00,
"7 Spice London, Jumeirah Lakes Towers","Indian,International",Good,55,5.00,10.00,
Thicc Milkshakes,Beverages,OK,53,5.00,10.00,
Katrina Sweets & Confectionery,"Specialty Store,Cakes and Desserts",Very good,50,7.00,50.00,
Nirala,"Pakistani,Snacks ,Desserts",,49,5.00,10.00,
Mughaliya Darbar Restaurant DMCC,"Indian,Chinese",Very good,52,5.00,10.00,
Noble Chicken,"American,Burgers,Sandwiches",Good,50,7.00,10.00,
Rails JLT,"Burgers,Fast Food,Pizza",Very good,51,3.00,10.00,
"Bab Sharqi, Al Barsha","Arabic,Lebanese,Sandwiches",Good,45,Free,50.00,
THE UNDERDOG,"American,Fast Food,Hot Dogs",Very good,46,Free,0.00,
Bait Al Mandi,"Grills,Mandi,Arabic",Very good,51,7.00,10.00,
Puffs,"Desserts,Breakfast",Very good,57,3.00,10.00,
High Joint,"American,Burgers,International",Very good,52,3.00,10.00,
Manzoni Bistro & Bar,"Italian,Pizza",Good,56,5.00,10.00,
Pokeman Restaurant,"Bowls,Healthy,Seafood",Very good,50,7.00,10.00,
The Cookie Bandits,"Specialty Store,Cakes and Desserts",,50,7.00,10.00,
Amigos Express,"International,Mexican",OK,50,7.00,10.00,
Mamma's Pizza,"Italian,Pizza",OK,50,7.00,10.00,
Smokehouse,"Burgers,Hot Dogs,American",Good,49,5.00,10.00,
Aloha Acai,"Breakfast,Desserts,Healthy",Good,48,5.00,10.00,
SORP BUSINESS CAFE,"Cafe,Healthy,Breakfast",Very good,49,5.00,10.00,
WEST WING,"Wings,Fried Chicken",Good,56,Free,10.00,
Uzturk,"Turkish,Breakfast,Grills",Good,50,5.00,10.00,New
Vinays Fish & Chips,"Grills,Seafood",Very good,50,6.00,35.00,
Shiro Sushi Wok,Japanese,Very good,47,7.00,10.00,
Yin & Yang Pizzeria,"Pizza,Italian",Very good,55,3.00,10.00,
Let's  Grab - Tex Mex,"Mexican,Vegetarian,Fast Food",Good,56,3.00,10.00,
"Sushi Your Way, Ibn Batutta Mall","Japanese,Seafood,Asian",Very good,58,5.00,10.00,
Breakfast By Broccoli Pizza And Pasta,"Breakfast,Italian,American",Good,53,5.00,10.00,
"Arabiska , The Palm Jumeirah","Egyptian,Arabic,Sandwiches",Very good,55,Free,40.00,
Salad Bar,Healthy,OK,54,5.00,10.00,New
OrangePuff Chimney Cake,"Breakfast,Cafe,Specialty Store",OK,51,3.00,10.00,
Project Pasta,"Italian,Pasta,Healthy",Good,49,7.00,10.00,
"Chalcos Mexican Grill, Jumeirah Lakes Towers","Healthy,Mexican,Bowls",Very good,47,3.00,10.00,
Ole Ole Burrito,"Mexican,Sandwiches,Breakfast",Very good,50,7.00,10.00,
"Sandwichys, Jumeirah Lakes Towers - JLT","Sandwiches,Burgers,Desserts",,54,5.00,10.00,
Hoa Poke by 3Fils,"Asian,Healthy,Japanese",Good,54,5.00,10.00,
Moonlight Masala,Indian,,54,5.00,10.00,
Massimo's Restaurant,"Italian,Pizza,Desserts",Very good,53,7.00,10.00,
Shawarma Station,"Shawarma & Doner,Lebanese,Sandwiches",Good,52,7.00,10.00,
BRAVO AVOCADO,"Healthy,Salads,Smoothies",Very good,46,Free,0.00,
MUMUSO,"Specialty Store,Stationery",Amazing,48,7.00,10.00,
"The Meat Avenue, JLT","Lebanese,Sandwiches,Arabic",Very good,50,5.00,10.00,
Chubby Balls,"Specialty Store,Cakes and Desserts",Good,51,7.00,10.00,
Hot Nashville- Home of NASHVILLE CHICKEN BURGERS,"American,International,Fried Chicken",Very good,53,3.00,10.00,
"Hako Sushi, Jumeirah Lakes Towers","Japanese,Seafood,Healthy",Very good,55,5.00,10.00,
Tandoor Grill Kitchen,Indian,Very good,54,7.00,10.00,
YMI Taste,"Desserts,Beverages,Chocolate ",Very good,50,5.00,50.00,
Saigon Ethnic Viet Food,"Asian,Chinese,Thai",Amazing,50,3.00,10.00,
"ASEER TIME, Al Barsha 1","Specialty Store,Desserts,Beverages",Very good,53,7.00,10.00,
Great Wok,"Asian,Chinese,Japanese",Very good,49,7.00,10.00,
Mama Yuris Original Mexican Cuisine,"Mexican,International,Grills",Good,49,5.00,10.00,
"Highway311, Jumeirah Lakes Towers - JLT",Mexican,Very good,52,5.00,10.00,
Shop Kitopi Express,"Grocery,Convenience Store",Very good,49,7.00,10.00,
Best Worscht In Town,"Fast Food,International,Snacks ",Good,47,7.00,10.00,
Keto By Foxxy,"Specialty Store,Bakery,Desserts",Very good,43,7.00,10.00,
"Gazebo, Jumeirah Lakes Towers, JLT",Indian,Very good,50,3.00,10.00,
The Little Bali,"Asian,Indonesian",Very good,40,Free,20.00,
Iran Zamin,"Iranian,Grills",Good,50,7.00,10.00,
Cakes and Shakes,"Desserts,Beverages",,51,5.00,10.00,
"Kcal Restaurant, JLT,Jumeirah Lakes Towers - JLT","Healthy,Arabic,Burgers",Very good,55,5.00,10.00,
Jamie Oliver's Pizzeria,"Pizza,Pasta,Italian",Good,55,5.00,10.00,
Luxury Ice Cream Tubs,"Specialty Store,Ice Cream,Cakes and Desserts",Good,46,7.00,10.00,
Wings Factory,American,Good,51,7.00,10.00,
800PIZZA Market,Specialty Store,Very good,51,7.00,10.00,
Mansoor,"American,Burgers,Sandwiches",Amazing,51,7.00,10.00,
Bronson,"International,Italian",,51,7.00,10.00,
Aunty Berry - Acai Bowls,Asian,OK,51,7.00,10.00,
Poke Mania,"Salads,Healthy,Seafood",,51,7.00,10.00,
Beauty & The Beef,American,,51,7.00,10.00,New
Everyday Roastery Coffee,"Cafe,Sandwiches,Breakfast",Good,41,Free,10.00,
Puranmal Restaurant,"Indian,Vegetarian",Very good,51,7.00,10.00,
Al Dar Al Malaki Traditional Restaurant,Arabic,Very good,50,5.00,50.00,
Novo Cinemas,"Burgers,Sandwiches,Snacks ",Good,52,5.00,10.00,
Breakfast Up,"Breakfast,Healthy",Good,52,7.00,10.00,
Curry Box,Indian,Very good,53,7.00,10.00,
Favourite Choice,"Healthy,International",Very good,49,5.00,10.00,
Simitchi Turkish Gourmet,"Turkish,Shawarma & Doner,Grills",Very good,47,7.00,10.00,
Big Dogs,"American,Desserts",,51,5.00,10.00,
Cakes by Shakespeare,"Specialty Store,Cakes and Desserts,Bakery",Good,50,7.00,10.00,
Chickwich,"American,Sandwiches",OK,50,5.00,10.00,
"Wagamama, Jumeirah Beach Residence - JBR","Japanese,Thai,Asian",Good,50,7.00,10.00,
Looshi's,"Specialty Store,Bakery,Desserts",Very good,48,3.00,10.00,
ChixFix,"Burgers,Fast Food,Fried Chicken",Very good,57,Free,10.00,
Garden Tulip Flowers Trading L.L.C,Flowers,,35,7.00,10.00,New
2 For 1 Biryani,Indian,Good,45,6.00,0.00,
Junkyard,"American,Burgers,Sandwiches",Good,49,7.00,10.00,
ChapaTea World,"Healthy,Sandwiches,Snacks ",OK,50,5.00,10.00,
Terrazza By Alloro,"Pizza,Italian",,52,7.00,10.00,New
Al Jaber Optical,Optical,Good,41,7.00,10.00,
Charlies Hotdogs and Wings,"American,Fast Food,Sandwiches",Very good,55,5.00,10.00,
Chinese Pepper,"Chinese,Asian",Very good,55,5.00,10.00,
"Arabiska , The Palm Jumeirah","Egyptian,Arabic,Sandwiches",,55,Free,40.00,
Pizzetta,"Pizza,Italian",Good,55,5.00,10.00,
Bagel And Co,"Breakfast,Healthy,Sandwiches",Good,52,5.00,10.00,
SANDWICH LAB,"Sandwiches,Wraps",Good,48,Free,0.00,
"Kulcha King, Jumeirah Lakes Towers - JLT","Indian,Pakistani,Grills",Good,51,3.00,10.00,
Le Caire 1940,"Grills,International,Arabic",OK,50,7.00,10.00,New
DELI SUSHI,"Japanese,Seafood,Healthy",Very good,55,6.00,40.00,
Taza,"Arabic,Asian,Sandwiches",Very good,53,7.00,10.00,
Hula Hula Acai,"Healthy,Breakfast,Desserts",Good,48,5.00,10.00,
Mission Katsu Curry,"Japanese,Asian,Healthy",Good,52,7.00,10.00,
Hari Prasad Pure Vegetarian Restaurant,"Indian,Vegetarian",Very good,51,7.00,10.00,
Chubby Cookies,"Specialty Store,Cakes and Desserts",Good,52,7.00,10.00,
"Urban Seafood, Jumeirah Beach Residence","Seafood,International,Healthy",Good,45,5.00,0.00,
Thai Wok,"Thai,Asian,Chinese",Good,45,5.00,0.00,
Al Kebab Factory,"International,Arabic,Grills",,56,7.00,10.00,New
Baguette,Sandwiches,Very good,52,7.00,10.00,
Vapiano Restaurant,"Italian,Pizza",Very good,45,5.00,0.00,
IHOP,"American,Breakfast,Desserts",Very good,53,7.00,10.00,
Talenti Gelato Ice Cream,"Specialty Store,Ice Cream,Cakes and Desserts",Good,47,5.00,10.00,
Pasta 2 Go x Bouza Roll,"International,Italian",Good,52,3.00,10.00,
Salad_Up,Healthy,Very good,51,7.00,10.00,
"Wendy's, Ibn Batutta Mall","Burgers,Sandwiches,American",Very good,56,6.00,10.00,
"Truck Adda Restaurant,  JLT","Indian,Pakistani,Cafe",Good,51,3.00,10.00,
Calorie Kitchen,Healthy,OK,51,5.00,10.00,New
"The Coffee Club, Dubai Marina","American,Breakfast,International",Good,52,7.00,0.00,
Wasabi Sushi At Tapsi,"Asian,Japanese,Seafood",Very good,57,5.00,10.00,
AMIGOVIO - Mexican Burritos,"Mexican,Bowls,Healthy",Very good,47,Free,10.00,
Azzurro Pizzeria,"Italian,Pizza",Good,56,5.00,10.00,
"Battle of the Brands, Dubai Marina","Mexican,Pasta,Breakfast",Very good,51,7.00,10.00,
Something Avo,"Beverages,Desserts,Vegetarian",Amazing,51,7.00,10.00,
Organic Press Juices,"Specialty Store,Beverages",Very good,52,7.00,10.00,
Ranchero,"Sandwiches,Beverages,Grills",,52,7.00,10.00,
China Garden,"Chinese,Seafood",Very good,40,Free,50.00,
Brasil Acai Por Luana,"Healthy,Breakfast,Desserts",Good,48,5.00,10.00,
"The Good Bowl, JBR","Healthy,Vegetarian,Salads",Good,48,5.00,10.00,
Snickers Ice cream,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,47,5.00,10.00,
Sarina,Fried Chicken,,52,5.00,10.00,New
Garrett Popcorn,"Specialty Store,Roastery",Good,54,7.00,10.00,
Pizza & Co,"Pizza,Fast Food,Italian",Good,56,5.00,10.00,
Kaak Kaaaak,"Lebanese,Arabic",Good,50,3.00,10.00,
Acai Beach,"Desserts,Healthy,Nutrition",Good,49,5.00,10.00,
"Royal Kebab, Jumeirah Lakes Towers - JLT","Indian,Chinese",Good,57,5.00,10.00,
Forni Pizza,"Pizza,Italian",Very good,45,Free,20.00,
Healthy Grills,"Grills,Healthy,Salads",Very good,56,7.00,10.00,
The Brooklyn Creamery,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,48,5.00,10.00,
R-Burger,"Burgers,American",Good,56,7.00,10.00,
Chinmark Restaurant,"International,Grills,Sandwiches",OK,48,7.00,10.00,
Moroc Lounge,"Arabic,Fast Food,Sandwiches",Good,57,5.00,10.00,
"PAUL Bakery & Restaurant , Ibn Batutta mall","Breakfast,Desserts,Sandwiches",Very good,59,Free,10.00,
Yerevan cafe,"International,Soups,Bakery",Good,47,5.00,10.00,
Beverly Hills Burger Bungalow,"Burgers,American",Good,50,5.00,10.00,
Shisheo Lounge,"Beverages,Breakfast,Cafe",,51,7.00,10.00,
Latea,"Healthy,Beverages",Very good,54,7.00,10.00,
Pizza Bowl by Broccoli Pizza & Pasta,"American,Healthy,Bowls",Good,53,5.00,10.00,
"BurgerFuel, Jumeirah Lakes Towers - JLT","Burgers,Fast Food,American",OK,51,5.00,10.00,
Pushkin Russian Restaurant,"International,Burgers,Sandwiches",Good,56,3.00,10.00,
Ibn Hamido,"Egyptian,Seafood",Good,60,5.00,50.00,
Pick & Choose,"Lebanese,Sandwiches,Salads",Very good,56,7.00,10.00,
Tikka Taj,Indian,OK,52,5.00,10.00,
Roc N Ramen,"Asian,Japanese",Very good,55,7.00,10.00,
Gangnam Kitchen - Korean Fried Chicken,"Fried Chicken,Burgers,Asian",Very good,54,7.00,10.00,
"Cafe Bateel, jumeirah Beach Residence - JBR","Healthy,Bakery and Cakes,Breakfast",Very good,52,7.00,10.00,
Pinza,"Pizza,Vegetarian,Healthy",Very good,45,7.00,0.00,
"Let's Popcorn, Al Quoz Industrial Area 3","Specialty Store,Roastery",Very good,50,6.00,50.00,
